,file,count
0,<ARENA>,574
1,<markdown>,111
2,<infra>,103
3,<reports>,89
4,<benchmark>,28
5,.gitignore,26
6,<image>,19
7,cli.py,18
8,autogpts/autogpt/autogpt/agents/agent.py,14
9,<challenge>,14
10,.github/workflows/benchmark-ci.yml,12
11,autogpts/forge/forge/agent.py,12
12,.github/workflows/autogpts-ci.yml,11
13,.github/workflows/benchmarks.yml,11
14,.github/workflows/pr-label.yml,11
15,.github/workflows/repo-stats.yml,11
16,.../forge/prompts/gpt-3.5-turbo/role_selection.j2,11
17,autogpts/autogpt/autogpt/agents/base.py,11
18,autogpts/autogpt/.gitignore,11
19,autogpts/autogpt/autogpt/core/planning/__init__.py,11
20,.../autogpt/core/planning/prompt_strategies/__init__.py,11
21,autogpts/autogpt/autogpt/core/prompting/base.py,11
22,autogpts/autogpt/autogpt/speech/say.py,11
23,.../test_information_retrieval_challenge_a.py,11
24,autogpts/autogpt/tests/integration/test_execute_code.py,11
25,autogpts/autogpt/tests/unit/test_utils.py,11
26,.github/workflows/build-frontend.yml,10
27,.github/workflows/close-stale-issues.yml,10
28,autogpts/autogpt/autogpt/app/main.py,10
29,frontend/.gitignore,10
30,autogpts/autogpt/autogpt/core/ability/__init__.py,10
31,autogpts/autogpt/autogpt/core/prompting/__init__.py,10
32,autogpts/autogpt/autogpt/core/prompting/schema.py,10
33,.../autogpt/autogpt/core/resource/model_providers/__init__.py,10
34,.../autogpt/autogpt/core/resource/model_providers/schema.py,10
35,.../autogpt/autogpt/core/runner/client_lib/logging/helpers.py,10
36,autogpts/autogpt/autogpt/json_utils/utilities.py,10
37,.../test_information_retrieval_challenge_b.py,10
38,.../test_information_retrieval_challenge_c.py,10
39,autogpts/autogpt/tests/conftest.py,10
40,autogpts/autogpt/tests/unit/test_file_operations.py,10
41,autogpts/forge/forge/__main__.py,10
42,autogpts/forge/forge/sdk/__init__.py,10
43,autogpts/forge/forge/sdk/routes/agent_protocol.py,10
44,.../verticals/code/1_three_sum/custom_python/test.py,10
45,.../verticals/code/6_battleship/artifacts_out/battleship.py,10
46,frontend/pubspec.lock,10
47,frontend/web/index.html,10
48,.github/CODEOWNERS,9
49,.github/ISSUE_TEMPLATE/1.bug.yml,9
50,.github/ISSUE_TEMPLATE/2.feature.yml,9
